ID,Name,Description,Old Name,Old Description,
580,Mach Bike,A mysterious scale that causes a certain Pokémon to evolve. It shines in rainbow colors.,mach-bike,"Faster than the Acro Bike, and can ride up sandy slopes and across cracked floors.",
581,Acro Bike,"A mysterious Evolutionary lump. When held by a Pokémon that can still evolve, it raises both Defense and Sp. Def.",acro-bike,"More maneuverable than the Mach Bike, and allows hopping along rails.",
582,Wailmer Pail,An item to be held by a Pokémon. This very light stone reduces the weight of a Pokémon when held.,wailmer-pail,Used to water berries.,
583,Devon Goods,"An item to be held by a Pokémon. If the holder is hit, the attacker will also be damaged upon contact.",devon-goods,Contains mechanical parts to be delivered to Captain Stern.,
584,Soot Sack,"An item to be held by a Pokémon. The holder will float in the air until hit. Once hit, this item will burst.",soot-sack,Stores volcanic ash from Route 113.,
585,Pokéblock Case,"An item to be held by a Pokémon. When the holder is hit by an attack, the attacker is removed from battle.",pokeblock-case,Holds Pokéblocks.,
586,Letter,An item to be held by a Pokémon. Moves that normally have no effect will land on a Pokémon holding it.,letter,A letter to Steven from the Devon Corp president.,
587,Eon Ticket,An item to be held by a Pokémon. A band that increases the power of binding moves used by the holder.,eon-ticket,Provides access to Southern Island and Latias or Latios.,
588,Scanner,An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.,scanner,Trade to Captain Stern for a DeepSeaTooth or DeepSeaScale.,
589,Go-Goggles,An item to be held by a Pokémon. It boosts Attack if hit with an Electric-type attack. It can only be used once.,go-goggles,Allows passage through windy deserts.,
590,Meteorite,"An item to be held by a Pokémon. If the holder is hit by an attack, it will be switched out of battle.",meteorite,FL: Deliver to Lostelle's father. RSE: Trade to Professor Cozmo for TM27 (Return).,
591,Rm. 1 Key,"A gem with an essence of fire. When held, it strengthens the power of a Fire-type move one time.",rm-1-key,Unlocks room 1 on the Abandoned Ship.,
592,Rm. 2 Key,"A gem with an essence of water. When held, it strengthens the power of a Water-type move one time.",rm-2-key,Unlocks room 2 on the Abandoned Ship.,
593,Rm. 4 Key,"A gem with an essence of electricity. When held, it strengthens the power of an Electric-type move one time.",rm-4-key,Unlocks room 4 on the Abandoned Ship.,
594,Rm. 6 Key,"A gem with an essence of nature. When held, it strengthens the power of a Grass-type move one time.",rm-6-key,Unlocks room 6 on the Abandoned Ship.,
595,Devon Scope,"A gem with an essence of ice. When held, it strengthens the power of an Ice-type move one time.",devon-scope,Allows spotting of invisible Kecleon.,
596,Oak's Parcel,"A gem with an essence of combat. When held, it strengthens the power of a Fighting-type move one time.",oaks-parcel,Trade to Prof. Oak for a Pokédex.,
597,Poké Flute,"A gem with an essence of poison. When held, it strengthens the power of a Poison-type move one time.",poke-flute,"Use to awaken sleeping Pokémon, including Snorlax on roads.",
598,Bike Voucher,"A gem with an essence of land. When held, it strengthens the power of a Ground-type move one time.",bike-voucher,Trade in Cerulean bike shop for a Bicycle.,
599,Gold Teeth,"A gem with an essence of air. When held, it strengthens the power of a Flying-type move one time.",gold-teeth,The Safari Zone Warden's dentures. Trade for HM04 (Strength).,
600,Lift Key,"A gem with an essence of the mind. When held, it strengthens the power of a Psychic-type move one time.",lift-key,Operates the elevator in Team Rocket's Celadon Hideout.,
601,Silph Scope,"A gem with an insect-like essence. When held, it strengthens the power of a Bug-type move one time.",silph-scope,Used to identify the true forms of ghosts in Pokémon Tower.,
602,Fame Checker,"A gem with an essence of rock. When held, it strengthens the power of a Rock-type move one time.",fame-checker,Records information about NPCs.,
603,TM Case,"A gem with a spectral essence. When held, it strengthens the power of a Ghost-type move one time.",tm-case,Holds TMs.,
604,Berry Pouch,"A gem with an essence of darkness. When held, it strengthens the power of a Dark-type move one time.",berry-pouch,Holds berries.,
605,Teachy TV,"A gem with an essence of steel. When held, it strengthens the power of a Steel-type move one time.",teachy-tv,Teachers basic trainer advice.,
606,Tri-Pass,An item for use on a Pokémon. It slightly increases the base HP of a single Pokémon.,tri-pass,Grants access to the first three Sevii Islands.,
607,Rainbow Pass,An item for use on a Pokémon. It slightly increases the base Attack stat of a single Pokémon.,rainbow-pass,Grants access to all of the Sevii Islands.,
608,Tea,An item for use on a Pokémon. It slightly increases the base Defense stat of a single Pokémon.,tea,Grants access to Saffron City.,
609,MysticTicket,An item for use on a Pokémon. It slightly increases the base Sp. Atk stat of a single Pokémon.,mysticticket,Allows access to Navel Rock and Lugia or Ho-oh.,
610,AuroraTicket,An item for use on a Pokémon. It slightly increases the base Sp. Def stat of a single Pokémon.,auroraticket,Allows access to Birth Island and Deoxys.,
611,Powder Jar,An item for use on a Pokémon. It slightly increases the base Speed stat of a single Pokémon.,powder-jar,Stores Berry Powder made using a Berry Crusher.,
612,Ruby,"Though this feather is beautiful, it’s just a regular feather and has no effect on Pokémon.",ruby,Give to Celio with Sapphire to activate Network Machine and get Rainbow Pass.,
613,Sapphire,A fossil from a prehistoric Pokémon that once lived in the sea. It appears as though it could be part of its back.,sapphire,Give to Celio with Ruby to activate Network Machine and get Rainbow Pass.,
614,Magma Emblem,A fossil from a prehistoric Pokémon that once lived in the sky. It looks as if it could come from part of its wing.,magma-emblem,Provides access to the Team Magma Hideout in the Jagged Pass.,
615,Old Sea Map,A special pass to go to Liberty Garden. Board the ship in Castelia City.,old-sea-map,Allows access to Faraway Island and Mew. Unreleased outside of Japan.,
616,Douse Drive,"A mysterious orb containing the power of the Unova region, to be used when generating Pass Power.",douse-drive,"Grants Genesect a blue, Water-type Techno Blast.",
617,Shock Drive,A special Poké Ball that appears in your Bag out of nowhere in the Entree Forest. It can catch any Pokémon.,shock-drive,"Grants Genesect a yellow, Electric-type Techno Blast.",
618,Burn Drive,A toy that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.,burn-drive,"Grants Genesect a red, Fire-type Techno Blast.",
619,Chill Drive,A lovely case to store colorful Props for your Pokémon to wear in a musical.,chill-drive,"Grants Genesect a white, Ice-type Techno Blast.",
620,Sweet Heart,A skull of a Pokémon that was said to have braved the angry waters to fly around the world.,sweet-heart,Restores 20 HP.,
621,Greet Mail,A rare mushroom that gives off a nice fragrance. It can be sold at a high price to shops.,greet-mail,Lets a Trainer write a message and send it via Pokémon trade.,
622,Favored Mail,A big nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.,favored-mail,Lets a Trainer write a message and send it via Pokémon trade.,
623,RSVP Mail,Very large pearls that sparkle in a pretty silver color. They can be sold at a high price to shops.,rsvp-mail,Lets a Trainer write a message and send it via Pokémon trade.,
624,Thanks Mail,A shard that fell to the ground when a comet approached. It can be sold at a high price to shops.,thanks-mail,Lets a Trainer write a message and send it via Pokémon trade.,
625,Inquiry Mail,"A copper coin used by an ancient civilization about 3,000 years ago.",inquiry-mail,Lets a Trainer write a message and send it via Pokémon trade.,
626,Like Mail,"A silver coin used by an ancient civilization about 3,000 years ago.",like-mail,Lets a Trainer write a message and send it via Pokémon trade.,
627,Reply Mail,"A gold coin used by an ancient civilization about 3,000 years ago.",reply-mail,Lets a Trainer write a message and send it via Pokémon trade.,
628,Bridge Mail S,"A fragile vase made by an ancient civilization about 3,000 years ago.",bridge-mail-s,Lets a Trainer write a message and send it via Pokémon trade.,
629,Bridge Mail D,"A heavy bracelet made by an ancient civilization about 3,000 years ago.",bridge-mail-d,Lets a Trainer write a message and send it via Pokémon trade.,
630,Bridge Mail T,"A stone figurine made by an ancient civilization about 3,000 years ago.",bridge-mail-t,Lets a Trainer write a message and send it via Pokémon trade.,
631,Bridge Mail V,"A heavy crown made by an ancient civilization about 3,000 years ago.",bridge-mail-v,Lets a Trainer write a message and send it via Pokémon trade.,
632,Bridge Mail M,"Castelia City’s specialty, soft-serve ice cream. It can be used once to heal all the status conditions of a Pokémon.",bridge-mail-m,Lets a Trainer write a message and send it via Pokémon trade.,
633,Prism Scale,It can be used many times to raise the critical-hit ratio of one Pokémon. It wears off if the Pokémon is withdrawn.,prism-scale,Traded on a Feebas: Holder evolves into Milotic.,
634,Eviolite,It sharply raises the Speed stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,eviolite,"Held: Holder has 1.5× Defense and Special Defense, as long as it's not fully evolved.",
635,Float Stone,It sharply raises the Sp. Atk stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,float-stone,Held: Holder has 0.5× weight.,
636,Rocky Helmet,It sharply raises the Sp. Def stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,rocky-helmet,"Held: When the holder is hit by a contact move, the attacking Pokémon takes 1/6 its max HP in damage.",
637,Air Balloon,It sharply raises the Defense stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,air-balloon,"Held: Grants immunity to Ground-type moves, Spikes, and Toxic Spikes. Consumed when the holder takes damage from a move.",
638,Red Card,It sharply raises the Attack stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,red-card,"Held: When the holder takes damage from a move, the opponent switches out for another random party Pokémon. Consumed after use.",
639,Ring Target,It sharply raises the accuracy of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,ring-target,Held: Negates the holder's type immunities. Ability immunities are not removed.,
640,Binding Band,It drastically raises the Speed stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,binding-band,Held: Doubles the per-turn damage of multi-turn trapping moves.,
641,Absorb Bulb,It drastically raises the Sp. Atk stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,absorb-bulb,Held: Raises the holder's Special Attack by one stage when it takes Water-type damage.,
642,Cell Battery,It drastically raises the Sp. Def stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,cell-battery,Held: Raises the holder's Attack by one stage when it takes Electric-type damage.,
643,Eject Button,It drastically raises the Defense stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,eject-button,"Held: When the holder takes damage from a move, it switches out for a party Pokémon of the Trainer's choice.",
644,Fire Gem,It drastically raises the Attack stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,fire-gem,"Held: When the holder uses a damaging []{type:fire}-type move, the move has 1.5× power and this item is consumed.",
645,Water Gem,It drastically raises the accuracy of a Pokémon in battle. It wears off if the Pokémon is withdrawn.,water-gem,"Held: When the holder uses a damaging []{type:water}-type move, the move has 1.5× power and this item is consumed.",
646,Electric Gem,It raises the Speed stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.,electric-gem,"Held: When the holder uses a damaging []{type:electric}-type move, the move has 1.5× power and this item is consumed.",
647,Grass Gem,It raises the Sp. Atk stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.,grass-gem,"Held: When the holder uses a damaging []{type:grass}-type move, the move has 1.5× power and this item is consumed.",
648,Ice Gem,It raises the Sp. Def stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.,ice-gem,"Held: When the holder uses a damaging []{type:ice}-type move, the move has 1.5× power and this item is consumed.",
649,Fighting Gem,It raises the Defense stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.,fighting-gem,"Held: When the holder uses a damaging []{type:fighting}-type move, the move has 1.5× power and this item is consumed.",
650,Poison Gem,It raises the Attack stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.,poison-gem,"Held: When the holder uses a damaging []{type:poison}-type move, the move has 1.5× power and this item is consumed.",
651,Ground Gem,It raises the accuracy of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.,ground-gem,"Held: When the holder uses a damaging []{type:ground}-type move, the move has 1.5× power and this item is consumed.",
652,Flying Gem,"When used, it activates the Ability of an ally Pokémon.",flying-gem,"Held: When the holder uses a damaging []{type:flying}-type move, the move has 1.5× power and this item is consumed.",
653,Psychic Gem,"When used, it causes an ally Pokémon to drop a held item.",psychic-gem,"Held: When the holder uses a damaging []{type:psychic}-type move, the move has 1.5× power and this item is consumed.",
654,Bug Gem,"When used, it causes an ally Pokémon to use its held item.",bug-gem,"Held: When the holder uses a damaging []{type:bug}-type move, the move has 1.5× power and this item is consumed.",
655,Rock Gem,"When used, it restores any stat changes of an ally Pokémon.",rock-gem,"Held: When the holder uses a damaging []{type:rock}-type move, the move has 1.5× power and this item is consumed.",
656,Ghost Gem,It can be used many times to greatly raise a Pokémon’s critical-hit ratio. It wears off if the Pokémon is withdrawn.,ghost-gem,"Held: When the holder uses a damaging []{type:ghost}-type move, the move has 1.5× power and this item is consumed.",
657,Dark Gem,Reshiram’s body was destroyed and changed into this stone. It is said to be waiting for the emergence of a hero.,dark-gem,"Held: When the holder uses a damaging []{type:dark}-type move, the move has 1.5× power and this item is consumed.",
658,Steel Gem,Zekrom’s body was destroyed and changed into this stone. It is said to be waiting for the emergence of a hero.,steel-gem,"Held: When the holder uses a damaging []{type:steel}-type move, the move has 1.5× power and this item is consumed.",
659,Health Feather,The user shrouds itself in electricity and smashes into its target. This also damages the user a little.,health-wing,Increases [HP]{mechanic:hp} [effort]{mechanic:effort} by 1.,
660,Muscle Feather,The user attacks everything around it by swamping its surroundings with a giant wave.,muscle-wing,Increases [Attack]{mechanic:attack} [effort]{mechanic:effort} by 1.,
661,Resist Feather,"The user yells as if it’s ranting about something, which lowers the Sp. Atk stat of opposing Pokémon.",resist-wing,Increases [Defense]{mechanic:defense} [effort]{mechanic:effort} by 1.,
664,Genius Feather,An important letter that Wingull delivers.,genius-wing,Increases [Special Attack]{mechanic:special-attack} [effort]{mechanic:effort} by 1.,
665,Clever Feather,An important letter that Wingull delivers.,clever-wing,Increases [Special Defense]{mechanic:special-defense} [effort]{mechanic:effort} by 1.,
666,Swift Feather,An important letter that Wingull delivers.,swift-wing,Increases [Speed]{mechanic:speed} [effort]{mechanic:effort} by 1.,
668,Pretty Feather,"A gem with a draconic essence. When held, it strengthens the power of a Dragon-type move one time.",pretty-wing,Sell for 100 Pokédollars.,
669,Cover Fossil,"A gem with an ordinary essence. When held, it strengthens the power of a Normal-type move one time.",cover-fossil,Can be revived into a []{pokemon:tirtouga}.,
670,Plume Fossil,A box-shaped machine that stores Medals and Medal information.,plume-fossil,Can be revived into a []{pokemon:archen}.,
673,Liberty Pass,A permit that is needed to enter the Nature Preserve. Not many know about it.,liberty-pass,Allows access to Liberty Garden and Victini.,
674,Pass Orb,An oval charm said to increase the chance of Pokémon Eggs being found at the Nursery.,pass-orb,Activates Pass Powers.,
675,Dream Ball,A shiny charm said to increase the chance of finding a Shiny Pokémon in the wild.,dream-ball,Catches Pokémon found in the Dream World.,
676,Poké Toy,A card key needed to enter the password inside the Plasma Frigate.,poke-toy,Ends a wild battle.,
677,Prop Case,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.,prop-case,Stores props for the Pokémon Musical.,
678,Dragon Skull,A special device that wrings out the potential of Pokémon. It’s an imperfect prototype.,dragon-skull,Return to the museum in Nacrene City.,
681,Balm Mushroom,A looking glass that reveals the truth. It’s a mysterious glass that returns a Pokémon to its original shape.,balm-mushroom,Sell to Hungry Maid for 25000 Pokédollars.,
682,Big Nugget,An item to be held by a Pokémon. Attack and Sp. Atk sharply increase if the holder is hit with a move it’s weak to.,big-nugget,Sell to Ore Collector for 30000 Pokédollars.,
683,Pearl String,An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.,pearl-string,Sell to Ore Collector for 25000 Pokédollars.,
684,Comet Shard,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fairy-type moves.,comet-shard,Sell to Ore Collector for 60000 Pokédollars.,
685,Relic Copper,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.,relic-copper,Sell to Villa Owner for 1000 Pokédollars.,
686,Relic Silver,"A soft and sweet treat made of fluffy, puffy, whipped, and whirled cream. It’s loved by a certain Pokémon.",relic-silver,Sell to Villa Owner 5000 Pokédollars.,
687,Relic Gold,A sachet filled with fragrant perfumes that are just slightly too overwhelming. Yet it’s loved by a certain Pokémon.,relic-gold,Sell to Villa Owner 10000 Pokédollars.,
688,Relic Vase,An item to be held by a Pokémon. It boosts Sp. Def if hit with a Water-type attack. It can only be used once.,relic-vase,Sell to Villa Owner 50000 Pokédollars.,
689,Relic Band,An item to be held by a Pokémon. It boosts Attack if hit with an Ice-type attack. It can only be used once.,relic-band,Sell to Villa Owner for 100000 Pokédollars.,
690,Relic Statue,An item to be held by a Pokémon. These goggles protect the holder from both weather-related damage and powder.,relic-statue,Sell to Villa Owner 200000 Pokédollars.,
691,Relic Crown,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect.",relic-crown,Sell to Villa Owner for 300000 Pokédollars.,
692,Casteliacone,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect.",casteliacone,Cures any status ailment and confusion.,
693,Dire Hit 2,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect.",dire-hit-2,Raises [critical hit]{mechanic:critical-hit} rate by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
694,X Speed 2,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect.",x-speed-2,Raises [Speed]{mechanic:speed} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
695,X Sp. Atk 2,"One of a variety of mysterious Mega Stones. Have Gengar hold it, and this stone will enable it to Mega Evolve during battle.",x-sp-atk-2,Raises [Special Attack]{mechanic:special-attack} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
696,X Sp. Def 2,"One of a variety of mysterious Mega Stones. Have Gardevoir hold it, and this stone will enable it to Mega Evolve during battle.",x-sp-def-2,Raises [Special Defense]{mechanic:special-defense} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
697,X Defense 2,"One of a variety of mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle.",x-defense-2,Raises [Defense]{mechanic:defense} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
698,X Attack 2,"One of a variety of mysterious Mega Stones. Have Venusaur hold it, and this stone will enable it to Mega Evolve during battle.",x-attack-2,Raises [Attack]{mechanic:attack} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
699,X Accuracy 2,"One of a variety of mysterious Mega Stones. Have Charizard hold it, and this stone will enable it to Mega Evolve during battle.",x-accuracy-2,Raises [accuracy]{mechanic:accuracy} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
700,X Speed 3,"One of a variety of mysterious Mega Stones. Have Blastoise hold it, and this stone will enable it to Mega Evolve during battle.",x-speed-3,Raises [Speed]{mechanic:speed} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
701,X Sp. Atk 3,"One of a variety of mysterious Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve during battle.",x-sp-atk-3,Raises [Special Attack]{mechanic:special-attack} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
702,X Sp. Def 3,"One of a variety of mysterious Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve during battle.",x-sp-def-3,Raises [Special Defense]{mechanic:special-defense} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
703,X Defense 3,"One of a variety of mysterious Mega Stones. Have Blaziken hold it, and this stone will enable it to Mega Evolve during battle.",x-defense-3,Raises [Defense]{mechanic:defense} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
704,X Attack 3,"One of a variety of mysterious Mega Stones. Have Medicham hold it, and this stone will enable it to Mega Evolve during battle.",x-attack-3,Raises [Attack]{mechanic:attack} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
705,X Accuracy 3,"One of a variety of mysterious Mega Stones. Have Houndoom hold it, and this stone will enable it to Mega Evolve during battle.",x-accuracy-3,Raises [accuracy]{mechanic:accuracy} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
706,X Speed 6,"One of a variety of mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle.",x-speed-6,Raises [Speed]{mechanic:speed} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
707,X Sp. Atk 6,"One of a variety of mysterious Mega Stones. Have Banette hold it, and this stone will enable it to Mega Evolve during battle.",x-sp-atk-6,Raises [Special Attack]{mechanic:special-attack} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
708,X Sp. Def 6,"One of a variety of mysterious Mega Stones. Have Tyranitar hold it, and this stone will enable it to Mega Evolve during battle.",x-sp-def-6,Raises [Special Defense]{mechanic:special-defense} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
709,X Defense 6,"One of a variety of mysterious Mega Stones. Have Scizor hold it, and this stone will enable it to Mega Evolve during battle.",x-defense-6,Raises [Defense]{mechanic:defense} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
710,X Attack 6,"One of a variety of mysterious Mega Stones. Have Pinsir hold it, and this stone will enable it to Mega Evolve during battle.",x-attack-6,Raises [Attack]{mechanic:attack} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
711,X Accuracy 6,"One of a variety of mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle.",x-accuracy-6,Raises [accuracy]{mechanic:accuracy} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
712,Ability Urge,"One of a variety of mysterious Mega Stones. Have Lucario hold it, and this stone will enable it to Mega Evolve during battle.",ability-urge,Forcibly activates a friendly Pokémon's ability.,
713,Item Drop,"One of a variety of mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle.",item-drop,Forces a friendly Pokémon to drop its held item.,
714,Item Urge,"One of a variety of mysterious Mega Stones. Have Kangaskhan hold it, and this stone will enable it to Mega Evolve during battle.",item-urge,Forcibly activates a friendly Pokémon's held item.,
715,Reset Urge,"One of a variety of mysterious Mega Stones. Have Gyarados hold it, and this stone will enable it to Mega Evolve during battle.",reset-urge,Resets a friendly Pokémon's stat changes.,
716,Dire Hit 3,"One of a variety of mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle.",dire-hit-3,Raises [critical hit]{mechanic:critical-hit} rate by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.,
717,Light Stone,"One of a variety of mysterious Mega Stones. Have Charizard hold it, and this stone will enable it to Mega Evolve during battle.",light-stone,Summons Reshiram for the final battle against N.,
718,Dark Stone,"One of a variety of mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle.",dark-stone,Summons Zekrom for the final battle against N.,
719,TM93,"One of a variety of mysterious Mega Stones. Have Heracross hold it, and this stone will enable it to Mega Evolve during battle.",tm93,Teaches Wild Charge to a compatible Pokémon.,
720,TM94,"One of a variety of mysterious Mega Stones. Have Mawile hold it, and this stone will enable it to Mega Evolve during battle.",tm94,Teaches Rock Smash to a compatible Pokémon.,
721,TM95,"One of a variety of mysterious Mega Stones. Have Manectric hold it, and this stone will enable it to Mega Evolve during battle.",tm95,Teaches Snarl to a compatible Pokémon.,
722,Xtransceiver,"One of a variety of mysterious Mega Stones. Have Garchomp hold it, and this stone will enable it to Mega Evolve during battle.",xtransceiver,Makes four-way video calls.,
723,god stone,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack.",god-stone,Unknown.  Currently unused.,
724,Gram 1,"If held by a Pokémon, this Berry will increase the holder’s Defense if it’s hit with a physical move.",gram-1,Part of a sidequest to obtain []{item:tm89}.,
725,Gram 2,"If held by a Pokémon, this Berry will increase the holder’s Sp. Def if it’s hit with a special move.",gram-2,Part of a sidequest to obtain []{item:tm89}.,
726,Gram 3,This special coupon allows you to buy items at a discount when you are shopping at a boutique.,gram-3,Part of a sidequest to obtain []{item:tm89}.,
727,Dragon Gem,An ornament depicting a mysterious Pokémon that has been venerated as a guardian deity for an extremely long time in the Alola region.,dragon-gem,"Held: When the holder uses a damaging []{type:dragon}-type move, the move has 1.5× power and this item is consumed.",
728,Normal Gem,A popular treat in Lumiose City. It can be used once to heal all the status conditions of a Pokémon.,normal-gem,"Held: When the holder uses a damaging []{type:normal}-type move, the move has 1.5× power and this item is consumed.",
729,Medal Box,A fossil from a prehistoric Pokémon that once lived on the land. It looks as if it could be a piece of a large jaw.,medal-box,Holds medals recieved in the medal rally.,
730,DNA Splicers,A fossil from a prehistoric Pokémon that once lived on the land. It looks like the impression from a skin sail.,dna-splicers,"Fuses Kyurem with Reshiram or Zekrom, or splits them apart again.",
731,Permit,"A gem with an essence of the fey. When held, it strengthens the power of a Fairy-type move one time.",permit,Grants access to the Nature Preserve.,
732,Oval Charm,This book contains all the points a new Trainer needs to know on a journey. It was handmade by a kind friend.,oval-charm,Doubles the chance of two Pokémon producing an egg at the daycare every 255 steps.,
733,Shiny Charm,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare’s logo.,shiny-charm,Raises the chance of finding a shiny Pokémon.,
735,Plasma Card,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.,plasma-card,Required to progress in the Plasma Frigate.,
736,Grubby Hanky,A rather curious stone that might appear valuable to some. It’s all in the eye of the beholder.,grubby-hanky,Appears in the Café Warehouse on Sunday; return to the customer with a Patrat on Thursday.,
737,Colress Machine,A rather chic-looking case for carrying contact lenses.,colress-machine,Wakes up the Crustle blocking the way in Seaside Cave.,
738,Dropped Item,A ticket that was handmade by Looker. It’s decorated with a liberal amount of glittery paint.,dropped-item,Returned to Curtis or Yancy as part of a sidequest.,
739,Reveal Glass,This ring contains an untold power that somehow enables Pokémon carrying Mega Stones to Mega Evolve in battle.,reveal-glass,"Switches Tornadus, Thundurus, and Landorus between Incarnate and Therian Forme.",
740,Weakness Policy,This pass serves as an ID card for gaining access to the power plant that lies along Route 13.,weakness-policy,"Held: When the holder is hit by a super effective move, its Attack and Special Attack raise by two stages.",
741,Assault Vest,A letter that Professor Sycamore wrote to your mother. A faint but pleasant perfume seems to cling to the paper.,assault-vest,Raises the holder's Special Defense to 1.5×.  Prevents the holder from selecting a status move.,
742,Pixie Plate,"Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks.",pixie-plate,Held: Fairy-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fairy.,
743,Ability Capsule,"A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil.",ability-capsule,Switches a Pokémon between its two possible (non-Hidden) Abilities.,
744,Whipped Dream,A commuter pass that allows the holder to ride the TMV between Lumiose City and Kiloude City at any time.,whipped-dream,Traded on a Swirlix: Holder evolves into Slurpuff.,
745,Sachet,This attack makes use of nature’s power. Its effects vary depending on the user’s environment.,sachet,Traded on a Spritzee: Holder evolves into Aromatisse.,
746,Luminous Moss,The user releases a horrible aura imbued with dark thoughts. This may also make the target flinch.,luminous-moss,"Held: If the holder is hit by a damaging Water move, raises its Special Defense by one stage.",
747,Snowball,The user charges at the target and may make it flinch.,snowball,"Held: If the holder is hit by a damaging Ice move, raises its Attack by one stage.",
748,Safety Goggles,The user damages opposing Pokémon by emitting a powerful flash.,safety-goggles,Held: Prevents damage from powder moves and the damage from Hail and Sandstorm.,
749,Rich Mulch,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target’s Sp. Atk stat.",rich-mulch,Increases the total number of Berries by 2.,
760,Surprise Mulch,"One of a variety of mysterious Mega Stones. Have Latias hold it, and this stone will enable it to Mega Evolve during battle.",surprise-mulch,Increases the chance of Berry mutation.,
761,Boost Mulch,"One of a variety of mysterious Mega Stones. Have Latios hold it, and this stone will enable it to Mega Evolve during battle.",boost-mulch,Causes soil to dry out in 4 hours.,
762,Amaze Mulch,A perfectly normal stone that might appear to be valuable to some. It’s all in the eye of the beholder.,amaze-mulch,"Increases the total number of Berries by 2, increases the chance of Berry mutation, and causes soil to dry out in 4 hours.",
763,Gengarite,A rather chic-looking case for carrying lipsticks.,gengarite,Held: Allows Gengar to Mega Evolve into Mega Gengar.,
