[Species]	[Gender]	[Name]	[Surname]	[ID Number]	[Birthday]	[Birthplace]	[Occupation]	[Orientation]	[Role]	[Position]	[Height/Length (Cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max (Cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[LV]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Mudkip Marshtomp Swampert	Male			P21678907	12/04/2009																100	110	90	90	90	60	0	Water Ground	Grass	Impish	Alert Specs: Teammates's items can't be stolen	Muddy Water (90/SA/Water) 30% chance -1 AC to foe, might miss ~ Mud Sport (Ground) -75% damage to Electric moves for 5 turns ~ Waterfall (80/AT/Water) 20% Flinch chance ~ Earthquake (100/AT/Ground) Hits all foes, 2X damage on digging foes	None	Damp: Nullifies all explosions and moves that faint the user.	Riled Up: Boosts AT and SA once when hit by an enemy.	Megaevolution: Form Change Enlightenment	Unstoppable in rain, hits like a truck when Megaevolved, completely walls Electric types.	Grass types, faster foes, Scald... not much else.	
Munna Musharna	Female			P35398788	10/02/1999																120	55	85	110	95	30	0	Psychic	Dark	Hardy	Hilink Forest Charm: Grants Access to the Dream World ~ Pass Orbs (2): Triggers a Pass Power	Future Sight (120/SA/Psychic) Hits after 2 turns ~ Moonlight (Fairy) Heals user by weather dependent amount ~ Barrier (Psychic) +2 DF ~ Dream Eater (100/SA/Psychic) Heals 50% damage, sleeping foes only	Windswept Mist (Psychic) Causes Sleep and Insane, never misses	Synchronize: Status conditions get synced with foe	Link Boost: The power of linked moves is boosted.	None	Great bulk, great damage, terrifying with a Trick room teammate.	Can only put a foe to sleep once, crippled by Taunt and ghost types.	
Necrozma	Unknown	Cavum	Nirum	P18633327	??/??/????	WOL, Unknown	Nuricom Alliance Guard Leader	Unknown	Unknown	Unknown	244	244	???	Segoe #d5d5d5	Travis Willingham/Hiroki Yasumoto	Often lost in thought	ENTJ	Nuricom Alliance, Space, Loyalty	Black Holes, Ultra Beasts, Betrayal	Glowing white core in the chest, random face color.	120	120	120	120	120	120	255	Psychic Dark	Fire	Mild	Ultranecrozium Z: Turns Photon Geyser into Light That Burns The Sky during Ultra Burst. ~ Space Globe: +1 AT and SA when held by a Legendary ~ Sparkling Stone: Powers up Z-Moves	Prismatic Laser (160/SA/Psychic) 1 turn recharge ~ Photon Geyser (???/100/Psychic) Uses higher stat ~ Sunsteel Strike (100/AT/Steel) Ignores abilities ~ Moongeist Beam (100/SA/Ghost) Ignores abilities	For Answer (Dragon) Charges 3 turns, +6 All Stats	Prism Armor: Super Effective moves do less damage	Black Glint: Teammates can use Z-Moves multiple times.	Ultra Burst: Form Change Enlightenment	If fused with Peahina or Lailona, they gain access to one of the most powerful Finishers, and become a spine chilling nuke with their Z-Move.	Crippled by getting rid of their items, or preventing the fusion.	Friends: Peahina Houkuu, Lailona Houkuu, Libidine Ludibrium, Codd Branford
Nidoran Nidorina Nidoqueen	Female	Loki		P35891921	31/05/1983																100	85	95	65	75	80	0	Poison Ground	Water	Hardy	Queen's Rock: Guarantees Flinching	Bite (60/AT/Dark) 30% Flinch chance ~ Headbutt (70/AT/Normal) 30% Flinch Chance ~ Rock Slide (75/AT/Rock) 30% Flinch Chance ~ Sludge Wave (95/SA/Poison) 10% Poison chance, hits all foes	None	Rivalry: +25% Damage to same gender, -25% to others.	Steamroll: Ignores types and abilities lowering a move's damage.	None	Mastered the art of flinching, would have been unstoppable with Loke...	...if they both didn't do exactly the same thing and they didn't let foes steal their item so often.	
Nidoran Nidorino Nidoking	Male	Loke		P16451106	05/03/1976																100	95	85	75	65	80	0	Poison Ground	Water	Serious	King's Rock: Guarantees Flinching	Bite (60/AT/Dark) 30% Flinch chance ~ Headbutt (70/AT/Normal) 30% Flinch Chance ~ Rock Slide (75/AT/Rock) 30% Flinch Chance ~ Sludge Bomb (90/SA/Poison) 30% Poison chance	None	Rivalry: +25% Damage to same gender, -25% to others.	Steamroll: Ignores types and abilities lowering a move's damage.	None	Mastered the art of flinching, would have been unstoppable with Loki...	...if they both didn't do exactly the same thing and they didn't let foes steal their item so often.	
Nihilego	Unknown			P11137896	04/12/1998																110	55	45	125	130	105	0	Rock Poison	Ghost	Sassy	Metronome: Boosts a move used repeatedly	Toxic Spikes (Poison) Poisons on switch-in, or badly poisons if used twice ~ Sludge Wave (95/SA/Poison) ~ Power Gem (80/SA/Rock) ~ Spite (Ghost) Depletes PP depending on foe's last used move	None	Beast Boost: +1 highest stat for each foe defeated	PP Siphon: Drains PP from an enemy.	None	Forces foes to use Struggle by immediately depleting their PP with Spite and it's Rare Quality. Can also tank special sweepers well.	Faster physical sweepers make this tactic useless.	
Noibat Noivern	Female	Fluctus	Pennae	P33871920	03/10/2001	WOL, Water Continent	Fossil Researcher	Hetero	Sub	Bottom	139	77	53	Bedlam #923ff6	Brianna Knickerbocker/Aya Endo	Often scatters things	ISFP	History, Art, Family Trees	Conspiracy Theories, Narcissists, Religions	Purple spots are green, purple eyes.	100	70	80	96	80	122	87	Flying Dragon	Rock	Jolly	Sticky Barb: Damages the holder ~ Ring Target: Holder loses type immunities and resistances ~ Choice Scarf: +1 SP, but can only use one move	Hurricane (110/SA/Flying) 30% Confusion chance, never misses in rain ~ Taunt (Dark) foe can't use non-damaging moves ~ Roost (Flying) Heals 50% HP, removes Levitate ~ Switcheroo (Dark) Switches item with foe	None	Frisk: Can see all foes's Items	Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None	Her sleight of hand allows her to cripple many foes by sneaking a Choice Scarf or Ring Target on them.	But then what? She's going to need a teammate to finish the battle properly.	Crush: Doreikun Furai
Noibat Noivern	Male	Kenta	Miyake	H61846344	17/07/1999	WOD, Japan, Osaka, Sakai	Sound Engineer	Bi	Sub	Bottom	143	81	41	Kimono #8673a1	Jesse David Corti/Kouki Uchiyama	Alert to sounds	ENFP	Music, Technology, Pokemon	Unreliable Equipment, Airpods, Consoles	Green spots are purple, green eyes.	80	70	80	100	80	150	99	Flying Dragon	Flying	Timid	Black Glasses: Boosts Dark moves ~ Noivernium Z: Turns Boom Burst into Sonic Boom	Hurricane (110/SA/Flying) 30% Confusion chance, never misses in rain ~ Taunt (Dark) foe can't use non-damaging moves ~ Draco Meteor (130/SA/Dragon) -2 SA ~ U-Turn (70/AT/Bug) Switches with teammate	None	Infiltrator: Ignores Substitutes and Barriers	Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None	Combines sound wave energy with Dragon attacks to disorient and strike hard.	Man, like, if only Sound was, like, a type, maaan...	
Oricorio	Female			P26058914	18/03/2009																75	70	70	110	70	110	0	Electric Flying	Fighting	Naive	Nectar Jars (11): Allows Oricorio to Style Shift ~ Prop Case: Holds Dancing Props	Revelation Dance (90/SA/???) Type varies on user's first type ~ Hurricane (110/SA/Flying) 30% Confusion chance, might miss ~ Roost (Flying) Heals 50% HP, removes Flying type ~ Tailwing (Flying) Whole team gets 2X SP for 5 turns	None	Dancer: If someone uses a dance move nearby, so does the user	Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	Style Shift: Form Change Enlightenment	Can change type with Nectar to defend against any offensive type, decent speed and damage.	Only has flying type moves, HATES field hazards.	
Oshawott Dewott Samurott	Male	Dairou	Tengoku	H74040426	03/05/2004	WOD, Japan, Kansai, Sekigahara	Tengoku Leader	Bi	Dom	Top	164	97	101	Libertinus Serif #5584e5	Griffin Burns/Masayuki Kato	Likes to fight	INTP	Serperiors, Pokemon, Post Town	Connection Orbs, Being Hungry, Wasting Items	Blue eyes, more vibrant colors, vine band on each arm.	100	110	90	100	70	70	140	Water	Steel	Relaxed	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Mystic Water: Boosts Water moves ~ Adventure Backpack: Allows Teams to hold more than 3 items	Tempest Blade (25/AT/Water) Hits 3 to 5 times ~ Octopus Slash (10/AT/Water) Hits 8 times, +1 Crit chance ~ Retaliate (70/AT/Normal) Double power if ally fainted ~ Water Pledge (80/SA/Water) Special effect when used with other pledges	Zantetsuken (400/AT/Water) 1 turn charge, +1 Priority	Torrent: Boosts Water moves in a pinch	Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	Paradigm Shift: Can swap moves with teammates	Training with the Tempest Blade gives him an edge in the offensive.	Not very effective without Tsutami and Susanoo.	Wife: Tsutami Tengoku ~ Son: Tsutarou Tengoku ~ Friends: Susanoo Tengoku, Senpu Tengoku, Nezumi Tengoku
Oshawott Dewott Samurott	Male	Phil	Maibum	P13528376	08/11/2006	WOL, Mist Continent	Strategist	Homo	Sub	Bottom	148	72	80	Shelley #c4c4d1	Yong Yea/Ryota Suzuki	Highly persistant	INTJ	Chess, Tactics, Logic Training	Blundering Pieces, Deadlines, Stress	Black belly, Ivory white armor.	95	100	75	110	75	75	76	Water	Rock	Rash	Shinai: -1 AT and SA, +1 AC and EV	Swords Dance (Normal) +2 AT ~ Liquidation (85/AT/Water) 20% Chance -1 DF to foe ~ Aqua Jet (40/AT/Water) +1 Priority ~ Megahorn (120/AT/Bug)	None	Shell Armor: Immune to Crits	Tight Formation: The more team members, the lower the damage from wide-ranging moves.	None	High IQ, if it looks like he's retreating, you should probably watch your surroundings.	Very vulnerable when alone.	None
Pachirisu	Female	Jeongi	Park	P95312170	02/12/2001	WOD, South Korea, Ulsan, Bongtaesan	Retired Nuricom League Champion	Hetero	Dom	Bottom	78	11	57	Southpaw #1eaac9	Reba Buhr/Ayane Sakura	A little quick tempered	ESTP	Fighting, Trainers, Ribbons	Draco Meteors, Metas, Sweeping	Cheeks are blue.	250	40	70	40	111	90	180	Electric	Electric	Impish	Berry Pots: Grows berries while traveling ~ Berry Pouch: Stores Berries ~ Champion Crown: +1 to all stats when near a human.	Nuzzle (20/AT/Electric) Causes Paralysis ~ Follow Me (Normal) All foes's moves target the user ~ Super Fang (???/AT/Normal) Halves foe's HP ~ Swagger (Normal) +2 AT to foe, causes confusion	Light Beacon (Electric) +1 Priority, all foes's moves target the user, immune to all moves	Volt Absorb: Heals when hit by Electric moves	Food Finder: Tiny Apples spawn much more often.	None	Thinking she's harmless and focusing on her teammate instead will be your worst mistake.	Fool me twice...	Boyfriend: Hankari Park ~ Trainer: Sejun Park
Palkia	Male	Shinju	Izanagi	P87136214	??/??/????	WOL, Mystery Continent	Dimension Guard Leader	Hetero	Switch	Top	422	335	143	Comfortaa Sans #cc80c2	Mike Mcfarland/Kazuhiro Yamaji	Very finicky	INFJ	Loyalty, Space Gears, Leafeons	Red Chains, Primal Reversion, Rulers	Cyan instead of pink.	88	120	100	150	120	100	171	Water Dragon	Bug	Adamant	Lustrous Orb: Boosts Dragon and Water type moves if held by a Palkia, grants Primal Reversion	Spacial Rend (100/SA/Dragon) +1 Crit Chance ~ Hydro Pump (110/SA/Water) ~ Giga Impact (150/AT/Normal) 1 Turn Recharge ~ Dragon Breath (60/SA/Dragon) 30% Paralysis Chance	Gravity Curvature (150/SA/Dragon) -3 SP to all foes	Pressure: Foes use 2X PP	Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	Primal Reversion: Form Change Enlightenment	Disorients and cripples foes that rely on speed.	Ground types can shrug off his most powerful blows.	Sister: Kongouseki Izanami ~ Friend: Samael Amphithere
Pancham Pangoro	Male			P78128671	26/09/1977																90	155	75	60	75	50	0	Fighting Dark	Normal	Careful	Choice Band: +1 AT, but can only use one move	Parting Shot (Dark) -1 AT and SA to foe, switches with teammate ~ Arm Thrust (15/AT/Fighting) Hits 2-5 times, 10% flinch chance ~ Hammer Arm (100/AT/Fighting) -1 SP ~ Drain Punch (75/AT/Fighting) Heals 50% Damage	None	Tekken: Punch based moves get +30% damage, except Sucker Punch	Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	None	Uses his Parting Shot to debuff foes and bypass his Choice Scarf, then hits like a train once he's forced in the front lines.	Surprisingly frail, unless he's alone.	
Pawniard Bisharp	Male			P55891011	23/04/1991		Stylist														65	125	100	65	75	75	0	Dark Steel	Fire	Adamant	Phantom Armor: Grants Immunity to Fighting moves	Knock Off (65/Dark/AT) +50% damage if foe holds item, knocks off item ~ Sucker Punch (70/AT/Dark) +1 Priority, fails if foe isn't attacking ~ Hone Claws (Dark) +1 AT and AC ~ Iron Head (80/AT/Steel) 30% Flinch chance	None	Defiant: +2 AT for each stat lowered by foe	Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	None	Great typing and hidden power combo, great damage, only two bad type matchups.	Surprisingly slow, can't deal with other dark types.	
Petilil Lilligant	Female			P25891808	17/06/2002																70	60	70	110	88	90	0	Psychic	Steel	Calm	Lucky Ribbon: Immune to Crits	Teeter Dance (Normal) Causes confusion ~ Sleep Powder (Grass) Causes Sleep ~ Stored Power (20/SA/Psychic) +20 power for each raised stat ~ Rest (Psychic) Sleep 2 turns, fully heals HP and status conditions	None	Chlorophyll: 2X SP when sunny	Funnel Fun: Corridors restore HP faster.	Not Quite My Tempo: +6 to a random stat if Asleep, Confused, or Insane	Delta type Saboteur, debuffs and tanks damage, activates her enlightenment with Rest, then hits like a METEOR using Stored Power.	Cannot do anything else if her main strategy fails.	
Phione Manaphy	Male		Chronos	P25601295	08/08/2003																99	99	99	99	99	99	0	Water Fairy	Psychic	Docile	Black Flute: Decreases wild encounters - Machine Case: Holds TMs, HMs, and PMs.	Tail Glow (Bug) +3 SA ~ Surf (90/SA/Water) Hits all foes, 2X damage on diving foes ~ Zap Cannon (120/SA/Electric) Causes Paralysis, might miss ~ Volt Tackle (120/AT/Electric) 33% Recoil, 10% Paralysis chance	None	Hydration: Immune to status conditions during rain	XP Boost: Grants additional XP to the team when a foe is defeated	None	Incredible movepool, mastered the use of Machines and Linked moves to check even the most unsurmountable walls.	Faster sweepers, grass types, and he's also really young and needs attention from teammates.	
Pichu Pikachu Raichu (Alola)	Female	Nezumi	Tengoku	P45345893	29/04/2006	WOL, Mist Continent	Tengoku Commander	Hetero	Sub	Bottom	71	19	19	Sirona #90decd	Christine Marie Cabanos/Shiori Mikami	Somewhat of a clown	ENFP	Beaches, Vacations, Drinks	Snow, Working, Eating	Blue and cyan instead of orange and yellow, magenta cheeks.	75	95	55	95	85	115	127	Electric Water	Dragon	Relaxed	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Aloraichium Z: Turns Thunderbolt into Stoked Sparksurfer ~ Adventure Backpack: Allows Teams to hold more than 3 items	Thunderbolt (90/SA/Electric) 10% Paralysis chance ~ Nasty Plot (Dark) +2 SA ~ Bide (Normal) 2 turn charge, deals 2X damage received ~ Surf (90/SA/Water) 2X Damage on diving foes	Thunderous Wave (50/SA/Electric) OHKO's Water types and diving foes	Surge Surfer: 2X Speed on Electric terrain	Sales Pitch: The team can sell items at higher price.	None	Feel the wave dude!	Oh heck it's too big, AAAAA!!!	Friends: Dairou Tengoku, Tsutami Tengoku, Susanoo Tengoku ~ Rival: Senpu Tengoku
Pichu Pikachu Raichu	Male	Adam	Ganden	H48239801	28/08/1970	WOD, USA, California, Los Angeles	Ganden Leader	Hetero	Switch	Top	86	32	26	Futura #f2ca0a	Max Mittelman/Makoto Furukawa	Likes to run	ENFJ	Rescue Teams, Starters, Cats	His field where he grows his worries is barren.	Brown parts are black, orange cheeks.	65	85	45	155	95	155	160	Electric Psychic	Fighting	Hasty	Glory Band: Enhanced Twist Band that prevents all stats from lowering.  ~ Pikanium Z: Turns Volt Tackle into Catastropika ~ Rescue Toolbox: Allows Teams to hold more than 3 items	Volt Tackle (120/AT/Electric) 33% recoil, 10% Paralysis chance ~ Double Team (Normal) +1 EV ~ Volt Switch (70/SA/Electric) Switches places with teammate ~ Charge (Electric) +1 SD, next Electric move does 2x damage	Zettahertz Missile (500/AT/Electric) 1 turn charge, Causes Paralysis to user	Lightning Rod: Absorbs all Electric moves to gain +1 SA	Sales Pitch: The team can sell items at higher price.	United We Stand: Activates all teammates's Enlightenments	You won't feel your body after one of his Z-Moves or Finishers. And if you can still feel it, his teammates will make sure.	It's just a Raichu, right? ...right?	Wife: Eve Ganden ~ Friend: Awan Ganden
Pidove Tranquill Unfeazant	Male			P43840600	05/11/1979		Disability Aid Doctor														80	115	80	65	55	93	0	Normal Flying	Electric	Adamant	Safety Goggles: Grants immunity to weather and powders ~ Ability Capsule (3): Swaps Ability	Tailwind (Flying) 2X Speed to teammates for 5 turns ~ Wish (Normal) 1 turn charge, fully heals any teammate. ~ Sky Attack (140/AT/Flying) 1 turn charge, 30% flinch chance, +1 Crit chance ~ Aerial Ace (60/AT/Flying) Never misses.	Defibrillation (Electric) Revives all teammates with 1 HP.	Super Luck: +1 Crit Chance	Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used.	None	Unlike many other clerics and doctors, he can dish out some heavy hits.	Who heals the doctor?	
Pikipek Trumbeak Toucannon	Female			P60248689	25/10/1991																80	120	75	75	75	60	0	Normal Flying	Fire	Lax	Life Orb: Drains HP to power up moves. 	Brave Bird (120/AT/Flying) 33% Recoil ~ Overheat (130/SA/Fire) -2 SA ~ Beak Blast (100/AT/Flying) 30% Burn chance ~ Frustration (AT/Normal) Uses Love, or lackthereof, for damage calculation	None	Keen Eye: AC can't be lowered, ignores foe's EV	Food Finder: Tiny Apples spawn much more often.	None	Surprisingly high damage, and also fairly high coverage thanks to STAB Overheat.	Relies on Life Orb, which chips away HP. Electric types will be a problem.	
Piplup Prinplup Empoleon	Male			P93103200	27/07/1976																84	86	88	111	101	66	0	Water Steel	Flying	Bold	Blue Flute: Cures Sleep	Scald (80/SA/Water) 30% Burn chance ~ Hydro Pump (110/SA/Water) ~ Protect (Parry/Normal) Blocks all moves ~ Defog (Flying) Removes field hazards	None	Defiant: +2 AT for each stat lowered by foe	Tight Formation: The more team members, the lower the damage from wide-ranging moves.	None	Great bulk, checks specially frail foes, uses versatile moves.	Setups, fighting types, physical sweepers.	
Plusle	Female	Kari		P53911830	14/08/1983																60	50	40	85	75	95	0	Electric	Ground	Docile	Electric Seed: +1 DF in Electric Terrain	Helping Hand (Normal) +50% PW to teammate's move ~ Encore (Normal) Foe has to use same move for 3 turns ~ Charge (Electric) +1 SD, next turn's Electric move has 2X damage ~ Thunder (110/AT/Electric) 30% Paralysis chance, might miss	None	Plus: Teammates with the Minus ability get 2X SP	Link Boost: The power of linked moves is boosted.	None	Um... surprisingly strong when paired with Kira.	Everything.	
Poochyena Mightyena	Male		Morgan	H16795075	15/12/1982																80	100	80	60	60	80	0	Dark Ice	Poison	Naughty	Carubyncle: Red gem slotted in his ear, grants eternal youth. ~ Cleanse Tag: Decreases wild encounters	Ice Fang (70/AT/Ice) 10% Freeze chance, 10% Flinch chance ~ Crunch (80/AT/Dark) 20% chance -1 DF to foe ~ Thief (60/AT/Dark) Steals foe's item ~ Foul Play (95/AT/Dark) Uses foe's AT for damage calculation	None	Moxie: +1 AT for each foe defeated	Enlightened: Teammates can use Enlightenments immediately.	None	Focuses on weaker moves with strong side effects, if his team is winning his ability allows finishing the battle really quickly.	Mediocre stats, useless without a pack.	
Popplio Brionne Primarina	Female	Cefca	Pagliaccio	H74778800	27/10/1997	WOD, Spain, Catalunya, Montmeló	Teacher in the Seashell Conservatoire	Bi	Switch	Bottom	179	43	87	Waltograph #547fec	Susan Calloway/Mika Nakashima	Mischievous	ESFP	Dragons, Sex, Children	Only very small and trivial things.	Black beads, nose, stars and fins.	70	74	74	126	116	90	169	Water Fairy	Psychic	Jolly	Hair Beads: All Infatuated foes cannot recover. ~ Primarium Z: Turns Sparkling Aria into Oceanic Operetta	Hyper Voice (90/SA/Normal) ~ Moonblast (95/SA/Fairy) 30% Chance -1 SA to foe ~ Sparkling Aria (90/SA/Water) Hits all foes, cures Burn ~ Scald (80/SA/Water) Burns foe, cures Frozen	Dicepocalypse (Normal) Uses random Finisher	Fluid Voice: All sound moves become Water Type	Heartstrings: If a teammate's connection faints, they get an extra Finisher.	Regik: Doubles Max HP stat without refilling it, completely random effect every turn.	Her Regik makes her fighting style completely unpredictable...	...But can backfire pretty hard.	Non-Consensual Sex Slaves: Nirvana Moksha, Matilde Quemar, Flaros Overfield ~ Adorb Seal: Elton Armada
Popplio Brionne Primarina	Male	Elton	Armada	P85346059	09/02/2005	WOL, Fire Continent	Student in the Seashell Conservatoire	Bi	Sub	Bottom	183	49	47	Trask's Hand #e31cef	Chris Rickabaugh/Ayumu Murase	Highly curious	ISFP	Cefca, Music, His Fur	Seriousness, Working, Long Dates	Pink spots are blue, magenta hair and fur.	90	74	74	126	116	70	38	Water Fairy	Poison	Quirky	Nylon Guitar: 1% chance of causing Deaf. ~ Everstone: Prevents evolving ~ Eviolite: +1 DF and SD if holder can evolve	Hydro Pump (110/SA/Water) ~ Moonblast (95/SA/Fairy) 30% Chance -1 SA to foe ~ Rest (Psychic) Sleep 2 turns, heals 100% HP and cures all status conditions ~ Sleep Talk (Normal) Requires Sleep, uses random move	None	Fluid Voice: All sound moves become Water Type	Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 	None	Um... he has a nice guitar.	Outright refuses to evolve.	Milf: Cefca Pagliaccio
Purrloin Liepard	Female			P21603781	17/07/2003																64	88	55	88	55	120	0	Dark	Normal	Hasty	Jemmy Ring: Holds Keys and Picks	Copycat (Normal) Copies foe's last used move. ~ Assist (Normal) Uses a random move known by the team ~ Thief (60/AT/Dark) Steals foe's item ~ Shadow Ball (80/SA/Ghost) 20% chance -1 SD to foe	None	Prankster: Status moves get +2 Priority	Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	Silicon Gene: Can be activated any time, 2X HP	One of the most wanted robbers around, mastered the art of stealing anything, even moves. Can fight both alone and in a team. Makes up for her frailness with her Mugen Gene.	Weather, fighting types, for some reason REALLY hates Jen.	
Ralts Kirlia Gallade	Male			P91404468	24/01/1970																68	128	68	68	118	77	0	Psychic Fighting	Ice	Jolly	Galladite: Triggers Megaevolution ~ Persim Band: Prevents Confusion	Swords Dance (Normal) +2 AT ~ Close Combat (120/AT/Fighting) -1 SD and DF ~ Zen Headbutt (80/AT/Psychic) 20% Flinch chance ~ Telekinesis (Psychic) Sends foe flying 3 turns	None	Steadfast: +1 SP if Flinching	Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 	Megaevolution: Form Change Enlightenment	Traps with telekinesis, and sweeps. A simple, yet horrifying recipe.	Requires cover while he sets up Swords Dance, slower than he looks.	
Ralts Kirlia Gardevoir	Female		Limestone	P44068063	05/07/1988																70	65	65	150	110	70	0	Psychic Fairy	Grass	Timid	Gardevoirite: Triggers Megaevolution	Psycho Boost (140/SA/Psychic) -2 SA ~ Psyshock (80/SA/Psychic) Uses foe's DF for damage calculation ~ Moonblast (95/SA/Fairy) 30% chance -1 SA to foe ~ Calm Mind (Psychic) +1 SA and SD	None	Frisk: Can see all foes's Items	Synced Breathing: Teammates Crit more often the bigger the team is.	Megaevolution: Form Change Enlightenment	Terrifying esper when megaevolved, can bend reality with her immense special damage, and make you like it.	Steel types, subpar ability, lacks speed.	
Rayquaza	Female	Ziz	Mikado	P74498264	??/??/????	WOL, Mystery Continent	Unknown	Unknown	Dom	Switch	841	238	???	Bennington #3dae37	Dorothy Fahn/Yoshino Otori	Likes to trash about	ENTJ	Nothing	Everything	Red spots are yellow.	110	150	90	150	90	90	211	Dragon Flying	Dark	Serious	Green Orb: Grants Mega Evolution ~ Sky Melodica: +3 AC if held by Rayquaza	Dragon Ascent (120/AT/Flying) -1 DF and SD ~ Dragon Dance (Dragon) +1 AT and SP ~ Extreme Speed (80/AT/Normal) +2 Priority ~ V-Create (180/AT/Fire) -1 DF and SD	Whirlwind Typhoon (200/???/???) Type change from weather and field, coin toss between AT and SA	Air Lock: Disables weather	Squeeze Out: The whole team can squeeze extra PP once per battle.	Megaevolution: Form Change Enlightenment	Unfair moves, unfair stats, unfair skills, she's a living menace that requires AT LEAST two strong teammates to counter.	Using her immense power against herself is usually the best way to defeat her.	Hates pretty much everything and everyone.
Reshiram	Female	Shiro	Ryuumouto	P30298868	22/09/1575	WOL, Mystery Continent	Mystery Continent Guard Leader	Hetero	Sub	Bottom	286	299	114	Benguiat Sans #ccbebd	Allegra Clark/Mie Sonozaki	Thoroughly cunning	INTJ	Humans, Zekroms, Puzzles	Organizations, Lies, Cowards	Claws, rings, and other metallic parts are red.	130	120	100	150	120	90	244	Dragon Fire	Fire	Quiet	Focus Sash: Resists OHKO's with 1 HP left. ~ Light Stone: Reverts Reshiram to Light Orb, making it unable to move, but immune to damage	Fusion Flare (100/SA/Fire) 2x power if used with Fusion Bolt ~ Blue Flare (130/SA/Fire) 20% Burn Chance, might miss ~ Draco Meteor (130/SA/Dragon) -2 SA ~ Roost (Flying) Heals 50% HP	Scorching Howl (200/SA/Fire) 1 turn charge, lasts 5 turns	Turboblaze: All Moves and their effects ignore foe's ability.	Yang: Doubles nearby Zekrom's speed	Overdrive: Form Change Enlightenment	Completely walls other Fire types, unstoppable with a trainer, or Kuro.	Kyurem, doesn't handle status conditions well.	Brother: Kuro Ryuuniki
Riolu Lucario	Male	Vega	Chronos	H11944075	30/10/1984	WOD, Canada, Britcol, Vancouver	Chronos Leader	Hetero	Dom	Top	164	66	51	Rialto Ant'd #1c04d2	Kyle Hebert/Hiroki Takahashi	Often lost in thought	ENTP	Guilds, Justice, Exploration	Outlaws, Sadism, Tensei's	Purple fur and eyes, red spots are blue.	70	150	70	150	70	111	155	Dragon Fighting Steel	Fire	Lax	United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ Lucarionite: Triggers Megaevolution ~ Treasure Bag: Allows Teams to hold more than 3 items	Power-Up Punch (40/AT/Fighting) +1 AT ~ Aura Sphere (80/SA/Fighting) Never misses ~ Focus Punch (150/AT/Fighting) Fails if user is hit ~ Final Gambit (Fighting) Does damage equal to HP, user faints	Stellar Bang (500/SA/Normal) Requires Stellar Chill on the same turn, fails if one stat is still lowered.	Inner Focus: Immune to flinch	Army Of Two: If there's only one teammate, that teammate gets a big stat boost.	Megaevolution: Form Change Enlightenment	Outstanding striker, fully takes advantage of any support. Nearly invincible with Lyra.	Somewhat lazy unless it's a global danger, doesn't handle failure well.	Wife: Lyra Chronos ~ Friends: Sirius Chronos, Betelgeuse Chronos, Codd Branford
Riolu Lucario	Male	Squall	Bastet	P60858472	25/04/2001	WOL, Air Continent	Doggo	Homo	Sub	Bottom	103	39	29	Marvel #c51d34	Jonah Scott/Hiroki Maeda	Likes to relax	ISTJ	Boys	Girls	Red fur, red and orange spots are black.	75	110	75	115	75	90	32	Fighting Steel	Dark	Careful	Protective Pads: Nullifies contact debuffs ~ Steelium Z: Turns a Steel move into Corkscrew Crash	Meteor Mash (90/AT/Steel) 20% Chance +1 AT ~ Close Combat (120/AT/Fighting) -1 DF and SD ~ Bullet Punch (40/AT/Steel) +1 Priority ~ Hone Claws (Dark) +1 AT and AC	None	Steadfast: +1 SP if Flinching	Hand Catching: Team gets stronger and stronger the longer the fight is.	None	Can revenge, and can also set up teammates to revenge him.	Ghost type Pokemon, faster Pokemon, higher leveled Pokemon, megaevolving Pokemon...	None
